Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",16292,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",12259,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
3,"Stay (with Alessia Cara)",Zedd,11255,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
4,"It Ain't Me (with Selena Gomez)",Kygo,10198,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
5,"Galway Girl","Ed Sheeran",9645,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
6,Paris,"The Chainsmokers",9526,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
7,"That's What I Like","Bruno Mars",9311,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
8,"Castle on the Hill","Ed Sheeran",8969,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
9,Closer,"The Chainsmokers",8680,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
10,Slide,"Calvin Harris",7845,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,7721,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
12,"I Feel It Coming","The Weeknd",7470,https://open.spotify.com/track/4RepvCWqsP6zBuzvwYibAS
13,"Call On Me - Ryan Riback Extended Remix",Starley,7349,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
14,"Scared to Be Lonely","Martin Garrix",7320,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
15,Cold,"Maroon 5",7233,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
16,"Say You Won't Let Go","James Arthur",7169,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
17,"Chained To The Rhythm","Katy Perry",6941,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
18,Issues,"Julia Michaels",6418,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
