Position,"Track Name",Artist,Streams,URL
1,"Galway Girl","Ed Sheeran",819283,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
2,"Shape of You","Ed Sheeran",734582,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Castle on the Hill","Ed Sheeran",503430,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
4,"New Man","Ed Sheeran",429377,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG
5,Perfect,"Ed Sheeran",392754,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
6,Happier,"Ed Sheeran",376910,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
7,"Something Just Like This","The Chainsmokers",361921,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
8,"What Do I Know?","Ed Sheeran",359730,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
9,Dive,"Ed Sheeran",334631,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
10,"You Don't Know Me","Jax Jones",333496,https://open.spotify.com/track/2SZy40PLDk3vFucXUGFCFA
11,Barcelona,"Ed Sheeran",325721,https://open.spotify.com/track/3Lfiu5sZ4M4B6JaKMBc0FU
12,"Supermarket Flowers","Ed Sheeran",310112,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG
13,"Nancy Mulligan","Ed Sheeran",302747,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
14,"Big For Your Boots",Stormzy,300230,https://open.spotify.com/track/3uMB82o0qa7erhiZBW9KQC
15,"It Ain't Me (with Selena Gomez)",Kygo,292552,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
16,"How Would You Feel (Paean)","Ed Sheeran",287543,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
17,Slide,"Calvin Harris",286507,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
18,Paris,"The Chainsmokers",269802,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
19,"Scared to Be Lonely","Martin Garrix",268069,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
20,"Chained To The Rhythm","Katy Perry",267803,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
21,"Hearts Don't Break Around Here","Ed Sheeran",252956,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk
22,"Bibia Be Ye Ye","Ed Sheeran",249946,https://open.spotify.com/track/6SznMYPQJHzr3IwsAHLId2
23,Eraser,"Ed Sheeran",242475,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
24,"That's What I Like","Bruno Mars",238907,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
25,"Stay (with Alessia Cara)",Zedd,236561,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
26,"Ciao Adios",Anne-Marie,235265,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
27,"Solo Dance","Martin Jensen",232695,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa
28,"Be The One","Dua Lipa",229916,https://open.spotify.com/track/1ixphys4A3NEXp6MDScfih
29,Touch,"Little Mix",228596,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,227011,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
31,Issues,"Julia Michaels",226575,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
32,"September Song","JP Cooper",225134,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
33,"Save Myself","Ed Sheeran",214072,https://open.spotify.com/track/6TIU9Ehmi6dMzZK73Ym4yj
34,"Shape of You - Stormzy Remix","Ed Sheeran",213557,https://open.spotify.com/track/2NHSYwGkAvPHzCinY0KwXo
