Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1551040,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Mask Off",Future,1360522,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
3,"iSpy (feat. Lil Yachty)",Kyle,1213427,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"That's What I Like","Bruno Mars",1154088,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
5,"Tunnel Vision","Kodak Black",1059848,https://open.spotify.com/track/2BoS7pU92MQtynhQ0cZOLT
6,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,991533,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
7,"It Ain't Me (with Selena Gomez)",Kygo,878201,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
8,Congratulations,"Post Malone",875918,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
9,"Bounce Back","Big Sean",870841,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
10,"Something Just Like This","The Chainsmokers",847933,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
11,"Stay (with Alessia Cara)",Zedd,838184,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,T-Shirt,Migos,807748,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
13,Issues,"Julia Michaels",780811,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Galway Girl","Ed Sheeran",755311,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
15,Paris,"The Chainsmokers",737030,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
16,Location,Khalid,731060,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,723710,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
18,Slide,"Calvin Harris",722212,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
19,"Fake Love",Drake,668443,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
