Position,Track Name,Artist,Region
1,Shape of You,Ed Sheeran,US
2,Mask Off,Future,US
3,iSpy (feat. Lil Yachty),Kyle,US
4,That's What I Like,Bruno Mars,US
5,Tunnel Vision,Kodak Black,US
6,Bad and Boujee (feat. Lil Uzi Vert),Migos,US
7,It Ain't Me (with Selena Gomez),Kygo,US
8,Congratulations,Post Malone,US
9,Bounce Back,Big Sean,US
10,Something Just Like This,The Chainsmokers,US
11,Stay (with Alessia Cara),Zedd,US
12,T-Shirt,Migos,US
13,Issues,Julia Michaels,US
14,Galway Girl,Ed Sheeran,US
15,Paris,The Chainsmokers,US
16,Location,Khalid,US
17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,US
18,Slide,Calvin Harris,US
19,Fake Love,Drake,US
20,I Feel It Coming,The Weeknd,US
21,Swang,Rae Sremmurd,US
22,Selfish,Future,US
23,Body Like A Back Road,Sam Hunt,US
24,Starboy,The Weeknd,US
25,Castle on the Hill,Ed Sheeran,US
26,Moves,Big Sean,US
27,Cold,Maroon 5,US
28,Believer,Imagine Dragons,US
29,Say You Won't Let Go,James Arthur,US
30,Look at Me!,Xxxtentacion,US
31,Rolex,Ayo & Teo,US
32,Closer,The Chainsmokers,US
33,goosebumps,Travis Scott,US
34,Caroline,Aminé,US
35,Green Light,Lorde,US
36,Love On The Brain,Rihanna,US
37,No Frauds,Nicki Minaj,US
38,Broccoli (feat. Lil Yachty),D.R.A.M.,US
39,Chained To The Rhythm,Katy Perry,US
40,"How Far I'll Go - From ""Moana""",Alessia Cara,US
41,Scared to Be Lonely,Martin Garrix,US
42,Call On Me - Ryan Riback Extended Remix,Starley,US
43,All Time Low,Jon Bellion,US
44,Perfect,Ed Sheeran,US
45,Redbone,Childish Gambino,US
46,Despacito (Featuring Daddy Yankee),Luis Fonsi,US
47,Black Beatles,Rae Sremmurd,US
48,Dive,Ed Sheeran,US
49,Both (feat. Drake),Gucci Mane,US
50,X (feat. Future),21 Savage,US
