Position,Track Name,Artist,BPM,Region
1,Shape of You,Ed Sheeran,97.4692671047,JP
2,Something Just Like This,The Chainsmokers,104.140419643,JP
3,Stay (with Alessia Cara),Zedd,103.399665371,JP
4,It Ain't Me (with Selena Gomez),Kygo,101.354125759,JP
5,Galway Girl,Ed Sheeran,135.692323619,JP
6,Paris,The Chainsmokers,101.981054392,JP
7,That's What I Like,Bruno Mars,136.20228611,JP
8,Castle on the Hill,Ed Sheeran,138.215738009,JP
9,Closer,The Chainsmokers,195.400116775,JP
10,Slide,Calvin Harris,105.416130157,JP
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,120.678559098,JP
12,I Feel It Coming,The Weeknd,94.0665939028,JP
13,Call On Me - Ryan Riback Extended Remix,Starley,106.504514814,JP
14,Scared to Be Lonely,Martin Garrix,141.527664638,JP
15,Cold,Maroon 5,101.301740087,JP
16,Say You Won't Let Go,James Arthur,130.582316314,JP
17,Chained To The Rhythm,Katy Perry,96.109844358,JP
18,Issues,Julia Michaels,116.083235851,JP
19,Perfect,Ed Sheeran,129.347634416,JP
20,"How Far I'll Go - From ""Moana""",Alessia Cara,102.478727147,JP
21,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,140.345360539,JP
22,New Man,Ed Sheeran,169.648243374,JP
23,Solo Dance,Martin Jensen,116.883119778,JP
24,HAPPY,J Soul Brothers III from EXILE TRIBE,117.017470441,JP
25,Just Hold On,Steve Aoki,116.908965902,JP
26,Green Light,Lorde,131.864837334,JP
27,Happier,Ed Sheeran,102.024382887,JP
28,Fire,Shota Shimizu,103.009270326,JP
29,What Do You Mean?,Justin Bieber,126.724300458,JP
30,What Do I Know?,Ed Sheeran,116.87020243,JP
31,どこまでも ~How Far I'll Go~(エンドソング),Miliyah,122.329992884,JP
32,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,103.569888879,JP
33,Starboy,The Weeknd,126.00603247,JP
34,24K Magic,Bruno Mars,108.21424876,JP
35,Dive,Ed Sheeran,137.233198822,JP
36,iSpy (feat. Lil Yachty),Kyle,152.86850034,JP
37,Despacito (Featuring Daddy Yankee),Luis Fonsi,90.2917369889,JP
38,Believer,Imagine Dragons,126.705925001,JP
39,How Would You Feel (Paean),Ed Sheeran,143.003886805,JP
40,Supermarket Flowers,Ed Sheeran,132.55272585,JP
41,All Night,The Vamps,147.866560865,JP
42,All Time Low,Jon Bellion,91.6142150395,JP
43,Barcelona,Ed Sheeran,101.342370997,JP
44,Weak,AJR,126.090126562,JP
45,You Don't Know Me,Jax Jones,125.847305005,JP
46,Nancy Mulligan,Ed Sheeran,103.438084725,JP
47,STAY TUNE,Suchmos,125.067956501,JP
48,"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,128.427857701,JP
49,Take What You Want (feat. 5 Seconds of Summer),ONE OK ROCK,119.907602937,JP
50,Symphony,Clean Bandit,127.518107835,JP
51,Hearts Don't Break Around Here,Ed Sheeran,142.105291689,JP
52,Mask Off,Future,152.498703213,JP
53,優しくしないで'95,MGF,97.4494898201,JP
54,Let Me Love You,DJ Snake,101.340575333,JP
55,Sorry,Justin Bieber,136.173985317,JP
56,Wherever you are,ONE OK ROCK,119.458176529,JP
57,Love Yourself,Justin Bieber,101.808437303,JP
58,"Someone In The Crowd - From ""La La Land"" Soundtrack",Emma Stone,130.098026619,JP
59,Congratulations,Post Malone,125.462144357,JP
60,Eraser,Ed Sheeran,116.798006228,JP
61,Sooner Or Later,Aaron Carter,113.54759124,JP
62,Chantaje,Shakira,103.218321032,JP
63,黄熱病 -YELLOW FEVER- × STUTS,AKKOGORILLA,106.904827446,JP
64,Bad and Boujee (feat. Lil Uzi Vert),Migos,129.161486348,JP
65,平行線,Sayuri,129.916152233,JP
66,金星 Feat.DAOKO,QUEEN BEE,125.789873559,JP
67,GET WILD - 2017 TK REMIX,Tetsuya Komuro,132.187887416,JP
68,イキツクシ,DADARAY,94.2273423707,JP
69,We Are,ONE OK ROCK,100.708133075,JP
70,Bounce Back,Big Sean,110.882981198,JP
71,桜 super love(single mix),Sunny Day Service,110.627954085,JP
72,おとなの掟,Doughnuts Hole,132.511963335,JP
73,Don't Wanna Know,Maroon 5,101.808272557,JP
74,ワタリドリ,[Alexandros],137.354839273,JP
75,晴れた午後は代官山で,DJ HASEBE,122.115605931,JP
76,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,114.783775728,JP
77,Cold Water (feat. Justin Bieber & MØ),Major Lazer,94.1000789719,JP
78,MAGIC,AAA,132.891506206,JP
79,Take No Defeat feat. Santell,banvox,152.780334995,JP
80,My Boo,Shota Shimizu,105.031251712,JP
81,El Amante,Nicky Jam,91.0106352475,JP
82,I Got You,Bebe Rexha,99.8564558368,JP
83,Selfish,Future,129.896973626,JP
84,Sugar,Maroon 5,121.907419276,JP
85,Uptown Funk,Mark Ronson,116.656208976,JP
86,Save Myself,Ed Sheeran,140.07417315,JP
87,SUBEME LA RADIO,Enrique Iglesias,92.1181240364,JP
88,Tunnel Vision,Kodak Black,159.29188483,JP
89,どんなときも。,Sonoko Inoue,127.496525476,JP
90,Just the Way You Are,Bruno Mars,110.521456227,JP
91,Faces,Crystal Kay,163.490110307,JP
92,PINKVIBES,Suchmos,117.461623828,JP
93,All We Know,The Chainsmokers,91.1737167697,JP
94,Versace On The Floor,Bruno Mars,117.722952958,JP
95,Don't Let Me Down,The Chainsmokers,154.097419923,JP
96,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,125.927847432,JP
97,The Beginning,ONE OK ROCK,183.490075864,JP
98,Side To Side,Ariana Grande,162.052881665,JP
99,Cake,Flo Rida,106.487496823,JP
100,Taking Off,ONE OK ROCK,113.811532645,JP
