Position,Track Name,Artist,BPM,Region
1,Galway Girl,Ed Sheeran,135.692323619,UK
2,Shape of You,Ed Sheeran,97.4692671047,UK
3,Castle on the Hill,Ed Sheeran,138.215738009,UK
4,New Man,Ed Sheeran,169.648243374,UK
5,Perfect,Ed Sheeran,129.347634416,UK
6,Happier,Ed Sheeran,102.024382887,UK
7,Something Just Like This,The Chainsmokers,104.140419643,UK
8,What Do I Know?,Ed Sheeran,116.87020243,UK
9,Dive,Ed Sheeran,137.233198822,UK
10,You Don't Know Me,Jax Jones,125.847305005,UK
11,Barcelona,Ed Sheeran,101.342370997,UK
12,Supermarket Flowers,Ed Sheeran,132.55272585,UK
13,Nancy Mulligan,Ed Sheeran,103.438084725,UK
14,Big For Your Boots,Stormzy,142.526248126,UK
15,It Ain't Me (with Selena Gomez),Kygo,101.354125759,UK
16,How Would You Feel (Paean),Ed Sheeran,143.003886805,UK
17,Slide,Calvin Harris,105.416130157,UK
18,Paris,The Chainsmokers,101.981054392,UK
19,Scared to Be Lonely,Martin Garrix,141.527664638,UK
20,Chained To The Rhythm,Katy Perry,96.109844358,UK
21,Hearts Don't Break Around Here,Ed Sheeran,142.105291689,UK
22,Bibia Be Ye Ye,Ed Sheeran,129.004170648,UK
23,Eraser,Ed Sheeran,116.798006228,UK
24,That's What I Like,Bruno Mars,136.20228611,UK
25,Stay (with Alessia Cara),Zedd,103.399665371,UK
26,Ciao Adios,Anne-Marie,107.582669006,UK
27,Solo Dance,Martin Jensen,116.883119778,UK
28,Be The One,Dua Lipa,119.967393201,UK
29,Touch,Little Mix,103.533322527,UK
30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,120.678559098,UK
31,Issues,Julia Michaels,116.083235851,UK
32,September Song,JP Cooper,97.2900552059,UK
33,Save Myself,Ed Sheeran,140.07417315,UK
34,Shape of You - Stormzy Remix,Ed Sheeran,129.992520445,UK
35,Human,Rag'n'Bone Man,152.217739545,UK
36,Call On Me - Ryan Riback Extended Remix,Starley,106.504514814,UK
37,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,140.345360539,UK
38,Symphony,Clean Bandit,127.518107835,UK
39,Green Light,Lorde,131.864837334,UK
40,Cold,Maroon 5,101.301740087,UK
41,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,103.569888879,UK
42,I Would Like,Zara Larsson,124.015761535,UK
43,Say You Won't Let Go,James Arthur,130.582316314,UK
44,I Feel It Coming,The Weeknd,94.0665939028,UK
45,All Night,The Vamps,147.866560865,UK
46,No Lie,Sean Paul,103.355245379,UK
47,Skin,Rag'n'Bone Man,173.47390015,UK
48,Mask Off,Future,152.498703213,UK
49,Starboy,The Weeknd,126.00603247,UK
50,Closer,The Chainsmokers,195.400116775,UK
51,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,125.279596291,UK
52,Believer,Imagine Dragons,126.705925001,UK
53,Text From Your Ex (feat. Tinashe),Tinie Tempah,126.854612763,UK
54,One Dance,Drake,105.294572518,UK
55,Did You See,J HUS,147.212639106,UK
56,iSpy (feat. Lil Yachty),Kyle,152.86850034,UK
57,Bad and Boujee (feat. Lil Uzi Vert),Migos,129.161486348,UK
58,Fake Love,Drake,136.560598036,UK
59,You Want Me,Tom Zanetti,128.434280955,UK
60,"How Far I'll Go - From ""Moana""",Alessia Cara,102.478727147,UK
61,Samantha,Dave,142.961348307,UK
62,Weak,AJR,126.090126562,UK
63,Don't Leave,Snakehips,125.269291602,UK
64,Sexual,NEIKED,109.517620425,UK
65,Just Hold On,Steve Aoki,116.908965902,UK
66,Shout Out to My Ex,Little Mix,128.378197489,UK
67,By Your Side,Jonas Blue,125.156653926,UK
68,Starving,Hailee Steinfeld,101.410325018,UK
69,Shed A Light,Robin Schulz,124.044858752,UK
70,Congratulations,Post Malone,125.462144357,UK
71,Chanel,Frank Ocean,139.708285026,UK
72,Mr. Brightside,The Killers,151.096541315,UK
73,All Time Low,Jon Bellion,91.6142150395,UK
74,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,114.783775728,UK
75,No Frauds,Nicki Minaj,126.000102139,UK
76,Cigarettes & Cush (feat. Kehlani),Stormzy,139.233705791,UK
77,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,123.419962335,UK
78,Cold,Stormzy,139.955687248,UK
79,No More Sad Songs (feat. Machine Gun Kelly),Little Mix,103.55164443,UK
80,24K Magic,Bruno Mars,108.21424876,UK
81,Best Behaviour,Louisa Johnson,97.2740351938,UK
82,Naive,The Kooks,103.693556646,UK
83,Lush Life,Zara Larsson,99.3167201811,UK
84,Places,Martin Solveig,123.766185225,UK
85,Shining,DJ Khaled,114.219403001,UK
86,Controlla,Drake,126.693677656,UK
87,Bounce Back,Big Sean,110.882981198,UK
88,Cold Water (feat. Justin Bieber & MØ),Major Lazer,94.1000789719,UK
89,Love,Lana Del Rey,123.477370011,UK
90,My Way,Calvin Harris,122.042388762,UK
91,Thinking Out Loud,Ed Sheeran,161.543889353,UK
92,Shut Up,Stormzy,140.468148572,UK
93,Don't Wanna Know,Maroon 5,101.808272557,UK
94,Now and Later,Sage The Gemini,108.187614829,UK
95,Selfish,Future,129.896973626,UK
96,Photograph,Ed Sheeran,109.644498247,UK
97,Side To Side,Ariana Grande,162.052881665,UK
98,Water Under the Bridge,Adele,96.330135451,UK
99,Don't Let Me Down,The Chainsmokers,154.097419923,UK
100,Tunnel Vision,Kodak Black,159.29188483,UK
