Position,Track Name,Artist,BPM,Region
1,Shape of You,Ed Sheeran,97.4692671047,US
2,Mask Off,Future,152.498703213,US
3,iSpy (feat. Lil Yachty),Kyle,152.86850034,US
4,That's What I Like,Bruno Mars,136.20228611,US
5,Tunnel Vision,Kodak Black,159.29188483,US
6,Bad and Boujee (feat. Lil Uzi Vert),Migos,129.161486348,US
7,It Ain't Me (with Selena Gomez),Kygo,101.354125759,US
8,Congratulations,Post Malone,125.462144357,US
9,Bounce Back,Big Sean,110.882981198,US
10,Something Just Like This,The Chainsmokers,104.140419643,US
11,Stay (with Alessia Cara),Zedd,103.399665371,US
12,T-Shirt,Migos,141.633427659,US
13,Issues,Julia Michaels,116.083235851,US
14,Galway Girl,Ed Sheeran,135.692323619,US
15,Paris,The Chainsmokers,101.981054392,US
16,Location,Khalid,162.460775706,US
17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,120.678559098,US
18,Slide,Calvin Harris,105.416130157,US
19,Fake Love,Drake,136.560598036,US
20,I Feel It Coming,The Weeknd,94.0665939028,US
21,Swang,Rae Sremmurd,142.957745199,US
22,Selfish,Future,129.896973626,US
23,Body Like A Back Road,Sam Hunt,100.345081677,US
24,Starboy,The Weeknd,126.00603247,US
25,Castle on the Hill,Ed Sheeran,138.215738009,US
26,Moves,Big Sean,102.067586433,US
27,Cold,Maroon 5,101.301740087,US
28,Believer,Imagine Dragons,126.705925001,US
29,Say You Won't Let Go,James Arthur,130.582316314,US
30,Look at Me!,Xxxtentacion,141.217919078,US
31,Rolex,Ayo & Teo,147.866908374,US
32,Closer,The Chainsmokers,195.400116775,US
33,goosebumps,Travis Scott,132.343044742,US
34,Caroline,Aminé,122.042388762,US
35,Green Light,Lorde,131.864837334,US
36,Love On The Brain,Rihanna,176.729767158,US
37,No Frauds,Nicki Minaj,126.000102139,US
38,Broccoli (feat. Lil Yachty),D.R.A.M.,148.251927536,US
39,Chained To The Rhythm,Katy Perry,96.109844358,US
40,"How Far I'll Go - From ""Moana""",Alessia Cara,102.478727147,US
41,Scared to Be Lonely,Martin Garrix,141.527664638,US
42,Call On Me - Ryan Riback Extended Remix,Starley,106.504514814,US
43,All Time Low,Jon Bellion,91.6142150395,US
44,Perfect,Ed Sheeran,129.347634416,US
45,Redbone,Childish Gambino,162.740442505,US
46,Despacito (Featuring Daddy Yankee),Luis Fonsi,90.2917369889,US
47,Black Beatles,Rae Sremmurd,148.509839746,US
48,Dive,Ed Sheeran,137.233198822,US
49,Both (feat. Drake),Gucci Mane,142.418851077,US
50,X (feat. Future),21 Savage,151.806928901,US
51,Happier,Ed Sheeran,102.024382887,US
52,24K Magic,Bruno Mars,108.21424876,US
53,No Heart,21 Savage,94.2778920805,US
54,Sneakin’,Drake,115.667073583,US
55,Weak,AJR,126.090126562,US
56,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,137.375833563,US
57,Chanel,Frank Ocean,139.708285026,US
58,Party Monster,The Weeknd,157.256726568,US
59,One Dance,Drake,105.294572518,US
60,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,140.345360539,US
61,New Man,Ed Sheeran,169.648243374,US
62,All Night (feat. Knox Fortune),Chance The Rapper,113.742809105,US
63,Trap Trap Trap,Rick Ross,139.472609701,US
64,Bad Things - With Camila Cabello,Machine Gun Kelly,140.595279863,US
65,Slippery (feat. Gucci Mane),Migos,143.976493096,US
66,All Night,The Vamps,147.866560865,US
67,Comin Out Strong,Future,110.632622916,US
68,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,125.279596291,US
69,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,103.569888879,US
70,Down,Marian Hill,148.806018751,US
71,I Got You,Bebe Rexha,99.8564558368,US
72,Chill Bill,Rob $tone,109.42005141,US
73,What Do I Know?,Ed Sheeran,116.87020243,US
74,pick up the phone,Young Thug,140.326534982,US
75,White Iverson,Post Malone,132.76475057,US
76,Low Life,Future,146.609217232,US
77,You Was Right,Lil Uzi Vert,111.518606358,US
78,Losin Control,Russ,98.2200528421,US
79,Don't Leave,Snakehips,125.269291602,US
80,September Song,JP Cooper,97.2900552059,US
81,Selfish,PnB Rock,103.411731639,US
82,Starving,Hailee Steinfeld,101.410325018,US
83,Barcelona,Ed Sheeran,101.342370997,US
84,Solo Dance,Martin Jensen,116.883119778,US
85,Heathens,Twenty One Pilots,170.314155543,US
86,Sunset Lover,Petit Biscuit,122.978238476,US
87,Nancy Mulligan,Ed Sheeran,103.438084725,US
88,Kelly Price (feat. Travis Scott),Migos,123.783717846,US
89,History,Olivia Holt,102.381591262,US
90,No Role Modelz,J. Cole,101.297662482,US
91,Just Hold On,Steve Aoki,116.908965902,US
92,No Favors,Big Sean,95.4116792803,US
93,Water,Ugly God,142.779956427,US
94,Side To Side,Ariana Grande,162.052881665,US
95,Party,Chris Brown,147.000070095,US
96,Supermarket Flowers,Ed Sheeran,132.55272585,US
97,Deja Vu,J. Cole,117.838271692,US
98,Controlla,Drake,126.693677656,US
99,Too Good,Drake,119.837257143,US
100,Sooner Or Later,Aaron Carter,113.54759124,US
